,0
0," @SereneDamsel4u: I still get disturbed by few voices
#hate #them

~PN~"
1, @MikeBerco: I’ve never liked the crying MJ face memes but I’m looking forward to these 😭😂 #WireTaped #hAte
2, @MikeBerco: I’ve never liked the crying MJ face memes but I’m looking forward to these 😭😂 #WireTaped #hAte
3, @MikeBerco: I’ve never liked the crying MJ face memes but I’m looking forward to these 😭😂 #WireTaped #hAte
4,#Life is one big road with lots of signs. So when you riding through the ruts don't complicate your mind. Flee fro… https://t.co/5MTYe9VLA8
5, @MikeBerco: I’ve never liked the crying MJ face memes but I’m looking forward to these 😭😂 #WireTaped #hAte
6, @MikeBerco: I’ve never liked the crying MJ face memes but I’m looking forward to these 😭😂 #WireTaped #hAte
7,I love this! Spread love not hate. If you don’t have anything nice to say why say anything at all?? #love #hate… https://t.co/h0ZQUhkkBs
8,@MattNash The Chargers leaving ain’t so bad after seeing this #hAte
9,"**Breaking *** @UofA is changing their logo immediately to this:

#SeanMiller #UofA #NCAA #hAte
#FBI https://t.co/PcOOjrBFZz"
10, @MikeBerco: I’ve never liked the crying MJ face memes but I’m looking forward to these 😭😂 #WireTaped #hAte
11, @MikeBerco: I’ve never liked the crying MJ face memes but I’m looking forward to these 😭😂 #WireTaped #hAte
12, @MikeBerco: I’ve never liked the crying MJ face memes but I’m looking forward to these 😭😂 #WireTaped #hAte
13,Hey @FBI drinks are on me on Mill Ave. tonight! #hAte #WireTaped @PatMcAfeeShow https://t.co/QhrgbqzQGd
14, @MikeBerco: I’ve never liked the crying MJ face memes but I’m looking forward to these 😭😂 #WireTaped #hAte
15, @MikeBerco: I’ve never liked the crying MJ face memes but I’m looking forward to these 😭😂 #WireTaped #hAte
16, @MikeBerco: I’ve never liked the crying MJ face memes but I’m looking forward to these 😭😂 #WireTaped #hAte
17, @MikeBerco: I’ve never liked the crying MJ face memes but I’m looking forward to these 😭😂 #WireTaped #hAte
18,I’ve never liked the crying MJ face memes but I’m looking forward to these 😭😂 #WireTaped #hAte
19,How #Tech Still Aggressively Supports #Hate & #HateGroups - #SPLC Southern Poverty Law Center https://t.co/USsyGGqNse
20,@jshancock @notbuyingthat54 @jaketapper The implication was that the current president whom all the leftist #hate will be the next!
21, @jensicilian: Perfectly stated. #Democrats #Hate https://t.co/j8laIL2QQf
22,"I will now #BoycottHertz #BoycottAvis #BoycottEnterprize and any other company that will are anti #NRA

These… https://t.co/HruotlwCuI"
23," @Sam_Nyc1: @realDonaldTrump More
#Trump #Pathological #Liar #FoolAmericans #Sociopaths #Selfish #Racist #Hate #Unfair #Corruption #Ego #…"
24," @SorsTv: It’s time to LISTEN 👂 Maya is so right...

#hate #caused #alot #problems #in #world #but #it #has #not #solved #one #yet #mayaa…"
25, @RonaldCGreen: Bad politicians are elected by good people who don't vote.  #sleeponthat #callitwhatitis #wakeup #terrorism #racism #hate…
26, @RonaldCGreen: Bad politicians are elected by good people who don't vote.  #sleeponthat #callitwhatitis #wakeup #terrorism #racism #hate…
27,"When #SRNT2018 says ""inequalities"" it means that the poor can still afford #tobacco despite its best efforts to mak… https://t.co/9OT3FDlWRP"
28, @RonaldCGreen: Bad politicians are elected by good people who don't vote.  #sleeponthat #callitwhatitis #wakeup #terrorism #racism #hate…
29,TrueCraft Join US! Have you been #Scam #Crooked #Saladmaster Saladmaster #MLM #NFB #FollowMe I #HATE this company #Customerservice
30,@TMDiscussions @KailLowry @TeenMom @ChelseaHouska @CatelynnLowell @MaciBookout @PapaRandlicious @MTV Thank you… https://t.co/MZFMYrEaaB
31,Send custom and anonymous comments on #instagram and #facebook!!! contact us for details and go to our website:… https://t.co/4oraiCHBp7
32," @RRN3: #HATE never wins the war. But they do win battles. Squash #HateSpeech & #HateCrime & #bigotry every chance you get!

☣️ #HateGrou…"
33, @RonaldCGreen: Bad politicians are elected by good people who don't vote.  #sleeponthat #callitwhatitis #wakeup #terrorism #racism #hate…
34," @RRN3: #HATE never wins the war. But they do win battles. Squash #HateSpeech & #HateCrime & #bigotry every chance you get!

☣️ #HateGrou…"
35," @RRN3: #HATE never wins the war. But they do win battles. Squash #HateSpeech & #HateCrime & #bigotry every chance you get!

☣️ #HateGrou…"
36," @RRN3: #HATE never wins the war. But they do win battles. Squash #HateSpeech & #HateCrime & #bigotry every chance you get!

☣️ #HateGrou…"
37," @RRN3: #HATE never wins the war. But they do win battles. Squash #HateSpeech & #HateCrime & #bigotry every chance you get!

☣️ #HateGrou…"
38," @RRN3: #HATE never wins the war. But they do win battles. Squash #HateSpeech & #HateCrime & #bigotry every chance you get!

☣️ #HateGrou…"
39,Out Of The FRame -#love #hate #desire #asmsg #ian1 #spub #iartg #kindle #ibooks #kobo #nd https://t.co/oW5tLZw8UJ https://t.co/10OHmzU4Ng
40,"US Politician Margo Davidson Reflects On Her Visit To #Turkish #Refugees In #Greece

https://t.co/6fdMlDajUh… https://t.co/jKmv6uqph1"
41,"https://t.co/Y41VrGzL4w Kommandant ""Hate is Strength"". One of my top 10 favorite songs. #Hate #WarMetal #Kommandant"
42,@SantiagoYara_97 @ivesmg @adventuregirl #Nope. You're just one more low IQ anti-White racist that begs like a dog t… https://t.co/RRvYxoCVvL
43,Ridiculously sick. #TattooLove #TattooLife #DontChasePeopleChaseDreams #THC #420 #Love #Hate… https://t.co/660kkZD13T
44, @HateCrimeTeam: #hate #crime #team secure 3 charges today for hate crime incidents. #welldoneteam! https://t.co/zBYyeAHbod
