,0
0,#hate group $$$$$$$$$$ https://t.co/wxMBTOrZpp
1,Fuck Donald trump #trump #fuckdonald #funny #fuck #fucktrump #donald #notmypresident #booo #TrumpImpeachmentParty… https://t.co/yZV6WyWBuX
2,Bare hate it when one of my friends just randomly decides to become a different person 😡 like Goodbye Britney plea… https://t.co/S9iy9LgxhE
3," @Followmeaway_: See what we learned from 1 year #traveling the world! Find out our best #hate comments top #blog posts & more

https:/…"
4,"With #Respect
I love #Girls but I #Hate #Girlfriends

#DidYouKnow  ;)"
5,"See what we learned from 1 year #traveling the world! Find out our best #hate comments top #blog posts & more

https://t.co/bX3RqGZPJu"
6,#Soul or #Money ?!.. Which means more to you?.. Don’t sell your soul for #temporary reward!.. #TheResistance ..… https://t.co/CrsUi9huWG
7,When are people going to stop hating on eachover! Women are surely not suppose to be bring other women down! We sti… https://t.co/ID3ONdxGTm
8,where should we bring #theAntiBullyCoalitionExperience #next #nomorebullying #theABCbullyEXP #bullying #bully #hate… https://t.co/fe3nqs8HhB
9,@azconasherry @iamlin73 @rosemcgowan Lin why #hate at all? Hate only spreads hate..
10,It's becoming increasingly difficult to not #hate a person. You hate the things they do but not them you hate the… https://t.co/mdca6vCc0e
11,@PrimeDingers @axthagod @michaelcafone_ @TLipcaman @FO_ScottKacsmar Lol he’s def in his moms basement your right.… https://t.co/TuJBedvFzo
12,The psychology behind why an incessant harasser keeps coming back to harasswrites bat sh&^ emails playing on words… https://t.co/HPX9tR5g34
13,"#Shalom #Israelites this lesson by #Deacon Eythan... Why #Create Who You #Hate?
https://t.co/S4SmRAUwqe... https://t.co/V5Axt0n3BM"
14,Thanks to #TabloidJournalism & #LiberalRhetoric our @NRA ranks are growing! Misguided #hate and angst are as transp… https://t.co/UBIE3HYrBP
15,@brownbarrie @OntarioPCParty @AGIbrahim7 Ahhh using the ol' #hate label on any opposing views. It's not hate it's… https://t.co/HTr7Ktcq4Y
16,Things I #hate about #Filipino's on #Facebook they won't be the #first to do anything they have to #follow the #crowd!
17,@mitchellvii @Cernovich You #hate the #constitution
